gene_id	gene	chrom	cds_min	cds_max	cds_len_canonical	n_cds_exons_canonical
ENSG00000130764	LRRC47	1	3781091	3796476	1749	7
ENSG00000116198	CEP104	1	3815220	3852407	2775	21
ENSG00000169598	DFFB	1	3857604	3883738	1014	7
ENSG00000198912	C1orf174	1	3889963	3900186	729	4
ENSG00000196581	AJAP1	1	4655426	4774496	1233	5
ENSG00000131697	NPHP4	1	5863268	5986289	4278	29
ENSG00000069424	KCNAB2	1	6040569	6098571	1245	15
ENSG00000116254	CHD5	1	6105371	6180023	5862	41
ENSG00000285629	ENSG00000285629	1	6181471	6197669	159	3
ENSG00000116251	RPL22	1	6186675	6199573	384	4
ENSG00000158286	RNF207	1	6206536	6219404	1902	17
ENSG00000116237	ICMT	1	6225083	6235911	852	5
ENSG00000173673	HES3	1	6244191	6245504	558	3
ENSG00000158292	GPR153	1	6249341	6254905	1827	5
ENSG00000097021	ACOT7	1	6264600	6393399	1110	9
ENSG00000069812	HES2	1	6413196	6419820	519	4
ENSG00000187017	ESPN	1	6424956	6461182	2562	13
ENSG00000215788	TNFRSF25	1	6461437	6466107	1251	10
ENSG00000171680	PLEKHG5	1	6467566	6506158	3018	20
ENSG00000162408	NOL9	1	6525857	6554502	2106	12
ENSG00000173662	TAS1R1	1	6555374	6579581	2523	6
ENSG00000204859	ZBTB48	1	6580610	6589209	2064	10
ENSG00000162413	KLHL21	1	6593368	6602817	1791	4
ENSG00000116273	PHF13	1	6614067	6621634	900	4
ENSG00000041988	THAP3	1	6625219	6634085	717	5
ENSG00000007923	DNAJC11	1	6634529	6701800	1677	16
ENSG00000171735	CAMTA1	1	6785531	7766519	5019	23
ENSG00000049245	VAMP3	1	7771384	7779642	300	5
ENSG00000049246	PER3	1	7784878	7842752	3630	21
ENSG00000049247	UTS2	1	7843946	7853431	372	4
ENSG00000049249	TNFRSF9	1	7920838	7939994	765	7
ENSG00000116288	PARK7	1	7962786	7985052	567	6
ENSG00000116285	ERRFI1	1	8004525	8015619	1386	3
ENSG00000162426	SLC45A1	1	8324330	8344010	2244	8
ENSG00000142599	RERE	1	8355090	8656297	4698	22
ENSG00000074800	ENO1	1	8861363	8874908	1302	11
ENSG00000131686	CA6	1	8945887	8974701	924	8
ENSG00000197241	SLC2A7	1	9003303	9026345	1536	12
ENSG00000142583	SLC2A5	1	9037589	9069536	1503	12
ENSG00000180758	GPR157	1	9104422	9129027	1005	4
ENSG00000049239	H6PD	1	9239996	9264866	2373	4
ENSG00000171621	SPSB1	1	9355892	9367572	819	2
ENSG00000171612	SLC25A33	1	9539692	9582498	963	7
ENSG00000188807	TMEM201	1	9588931	9613080	1998	11
ENSG00000171608	PIK3CD	1	9710456	9727043	3132	22
ENSG00000171603	CLSTN1	1	9730511	9823733	2943	19
ENSG00000178585	CTNNBIP1	1	9850721	9872064	243	3
ENSG00000162441	LZIC	1	9922258	9936619	570	6
ENSG00000173614	NMNAT1	1	9972074	9985140	837	4
ENSG00000162444	RBP7	1	9997259	10015829	402	4
ENSG00000130939	UBE4B	1	10033671	10179953	3906	28
ENSG00000054523	KIF1B	1	10232329	10378399	5448	48
ENSG00000142657	PGD	1	10399118	10419746	1449	13
ENSG00000251503	CENPS-CORT	1	10430518	10451592	414	5
ENSG00000175279	CENPS	1	10430518	10442402	414	5
ENSG00000241563	CORT	1	10450224	10451592	315	2
ENSG00000160049	DFFA	1	10461493	10472458	993	6
ENSG00000142655	PEX14	1	10474967	10629984	1131	9
ENSG00000130940	CASZ1	1	10638945	10693889	5277	18
ENSG00000175262	C1orf127	1	10947666	10982037	2469	12
ENSG00000120948	TARDBP	1	11013728	11025183	1242	5
ENSG00000009724	MASP2	1	11022177	11047207	2058	11
ENSG00000116649	SRM	1	11054868	11059943	906	8
ENSG00000171824	EXOSC10	1	11066721	11099831	2655	25
ENSG00000198793	MTOR	1	11107488	11259409	7647	57
ENSG00000171819	ANGPTL7	1	11189580	11195020	1038	5
ENSG00000120942	UBIAD1	1	11273532	11294887	1014	2
ENSG00000204624	DISP3	1	11500993	11536683	4176	20
ENSG00000116661	FBXO2	1	11648697	11655712	888	6
ENSG00000132879	FBXO44	1	11655836	11661302	765	5
ENSG00000116663	FBXO6	1	11668659	11673848	879	5
ENSG00000116670	MAD2L2	1	11674778	11680601	633	8
ENSG00000162490	DRAXIN	1	11706259	11719693	1047	6
ENSG00000177674	AGTRAP	1	11736209	11750283	477	5
ENSG00000215910	C1orf167	1	11764401	11789456	4347	20
ENSG00000177000	MTHFR	1	11790543	11803514	1968	11
ENSG00000011021	CLCN6	1	11806263	11840220	2607	23
ENSG00000175206	NPPA	1	11846012	11847684	453	3
ENSG00000120937	NPPB	1	11857658	11858833	402	3
ENSG00000116685	KIAA2013	1	11920318	11926237	1902	3
ENSG00000083444	PLOD1	1	11934780	11974805	2181	19
ENSG00000116688	MFN2	1	11989169	12014476	2271	17
ENSG00000116691	MIIP	1	12021727	12031805	1164	9
ENSG00000120949	TNFRSF8	1	12063599	12142528	1785	15
ENSG00000028137	TNFRSF1B	1	12167092	12207017	1383	10
ENSG00000048707	VPS13D	1	12234267	12509021	13164	69
ENSG00000162496	DHRS3	1	12568343	12617348	906	6
ENSG00000204518	AADACL4	1	12644547	12666732	1221	4
ENSG00000188984	AADACL3	1	12716177	12725993	1221	4
ENSG00000157330	CFAP107	1	12746431	12760948	582	4
ENSG00000116726	PRAMEF12	1	12774868	12777596	1449	3
ENSG00000116721	PRAMEF1	1	12793228	12795993	1422	3
ENSG00000239810	PRAMEF11	1	12824945	12828789	1434	3
ENSG00000179172	HNRNPCL1	1	12847411	12848289	879	1
ENSG00000120952	PRAMEF2	1	12859010	12861776	1422	3
ENSG00000243073	PRAMEF4	1	12879547	12883394	1434	3
ENSG00000187545	PRAMEF10	1	12892919	12895847	1422	3
ENSG00000204510	PRAMEF7	1	12917693	12920410	1422	3
ENSG00000232423	PRAMEF6	1	12938678	12942518	1428	3
ENSG00000274764	PRAMEF27	1	13049811	13053659	1434	3
ENSG00000277058	HNRNPCL3	1	13061325	13062203	879	1
ENSG00000229571	PRAMEF25	1	13073694	13077549	1434	3
ENSG00000275774	HNRNPCL2	1	13115522	13116400	879	1
ENSG00000280267	PRAMEF26	1	13149240	13153095	1434	3
ENSG00000179412	HNRNPCL4	1	13164589	13165467	879	1
ENSG00000204505	PRAMEF9	1	13175281	13179129	1434	3
ENSG00000279169	PRAMEF13	1	13196826	13199589	1422	3
ENSG00000279804	PRAMEF18	1	13223335	13226106	1437	3
ENSG00000270601	PRAMEF5	1	13259269	13263108	1428	3
ENSG00000182330	PRAMEF8	1	13281374	13284091	1422	3
ENSG00000237700	PRAMEF33	1	13305955	13308884	1422	3
ENSG00000204501	PRAMEF15	1	13318408	13322261	1434	3
ENSG00000204481	PRAMEF14	1	13342531	13345314	1422	3
ENSG00000204480	PRAMEF19	1	13369070	13371900	1437	3
ENSG00000204479	PRAMEF17	1	13389658	13392499	1422	3
ENSG00000204478	PRAMEF20	1	13416355	13421255	1425	3
ENSG00000162494	LRRC38	1	13475849	13513593	882	2
ENSG00000162493	PDPN	1	13583806	13615908	486	6
ENSG00000116731	PRDM2	1	13715606	13823181	5154	8
ENSG00000189337	KAZN	1	13893666	15114632	2325	15
ENSG00000171729	TMEM51	1	15215088	15219740	759	2
ENSG00000142621	FHAD1	1	15251785	15397410	4437	33
ENSG00000142634	EFHD2	1	15409972	15428721	720	4
ENSG00000162438	CTRC	1	15438465	15446586	804	8
ENSG00000142615	CELA2A	1	15456754	15472004	807	8
ENSG00000215704	CELA2B	1	15476126	15491309	807	8
ENSG00000132906	CASP9	1	15492946	15524200	1248	9
ENSG00000116138	DNAJC16	1	15529106	15574775	2346	14
ENSG00000116771	AGMAT	1	15573654	15584967	1056	7
ENSG00000197312	DDI2	1	15617671	15661719	1197	9
ENSG00000215695	RSC1A1	1	15659869	15661719	1851	1
ENSG00000116786	PLEKHM2	1	15684559	15733931	3057	20
ENSG00000162461	SLC25A34	1	15736486	15739403	912	5
ENSG00000162460	TMEM82	1	15742560	15747629	1029	6
ENSG00000162458	FBLIM1	1	15764984	15784658	1119	7
ENSG00000233954	UQCRHL	1	15807377	15807649	273	1
ENSG00000065526	SPEN	1	15848068	15939424	10992	15
ENSG00000116809	ZBTB17	1	15941972	15948495	2409	14
ENSG00000183888	SRARP	1	16004304	16006343	507	2
ENSG00000173641	HSPB7	1	16015583	16019469	510	3
ENSG00000186510	CLCNKA	1	16022620	16033655	2061	19
ENSG00000184908	CLCNKB	1	16044493	16057282	2061	19
ENSG00000185519	FAM131C	1	16058440	16073442	840	7
ENSG00000142627	EPHA2	1	16125218	16155932	2928	17
ENSG00000142632	ARHGEF19	1	16198590	16209054	2406	15
ENSG00000132881	CPLANE2	1	16232051	16236742	774	5
ENSG00000037637	FBXO42	1	16250673	16315418	2151	9
ENSG00000055070	SZRD1	1	16367258	16395137	456	4
ENSG00000187144	SPATA21	1	16387298	16431371	1407	11
ENSG00000157191	NECAP2	1	16440762	16458993	789	8
ENSG00000219481	NBPF1	1	16563946	16592021	3417	23
ENSG00000058453	CROCC	1	16922019	16972443	6051	37
ENSG00000117122	MFAP2	1	16974923	16978273	549	8
ENSG00000159363	ATP13A2	1	16985988	17011738	3540	29
ENSG00000288636	ENSG00000288636	1	17005071	17011757	309	4
ENSG00000117118	SDHB	1	17018884	17054019	840	8
ENSG00000117115	PADI2	1	17069047	17119371	1995	16
ENSG00000142623	PADI1	1	17205218	17244240	1989	16
ENSG00000142619	PADI3	1	17249138	17283076	1992	16
ENSG00000159339	PADI4	1	17308223	17363752	1989	16
ENSG00000276747	PADI6	1	17372246	17401435	2082	16
ENSG00000179051	RCC2	1	17409093	17438514	1566	12
ENSG00000074964	ARHGEF10L	1	17580596	17697377	3837	28
ENSG00000117148	ACTL8	1	17823009	17826516	1098	2
ENSG00000117154	IGSF21	1	18108129	18378323	1401	10
ENSG00000179023	KLHDC7A	1	18480982	18483312	2331	1
ENSG00000009709	PAX7	1	18631604	18744926	1515	9
ENSG00000179002	TAS1R2	1	18839602	18859660	2517	6
ENSG00000159423	ALDH4A1	1	18872848	18902523	1689	15
ENSG00000169991	IFFO2	1	18908564	18956332	1551	9
ENSG00000127481	UBR4	1	19074835	19210248	15549	106
ENSG00000127463	EMC1	1	19219306	19251509	2979	23
ENSG00000053372	MRTO4	1	19251836	19258827	717	8
ENSG00000211454	AKR7L	1	19267303	19274074	993	7
ENSG00000162482	AKR7A3	1	19282734	19288709	993	7
ENSG00000053371	AKR7A2	1	19304228	19312124	1077	7
ENSG00000040487	SLC66A1	1	19317678	19328640	873	7
ENSG00000077549	CAPZB	1	19339533	19485438	816	9
ENSG00000173436	MICOS10	1	19597046	19626398	234	4
ENSG00000270136	MICOS10-NBL1	1	19597067	19626398	213	4
ENSG00000158747	NBL1	1	19643312	19657126	543	3
ENSG00000158748	HTR6	1	19665754	19679365	1320	3
ENSG00000162542	TMCO4	1	19682632	19780758	1902	13
ENSG00000178828	RNF186	1	19814421	19815101	681	1
ENSG00000169914	OTUD3	1	19882514	19907743	1194	8
ENSG00000188784	PLA2G2E	1	19920310	19923559	426	4
ENSG00000188257	PLA2G2A	1	19975704	19978773	432	4
ENSG00000127472	PLA2G5	1	20084831	20090689	414	4
ENSG00000117215	PLA2G2D	1	20114117	20119498	435	4
ENSG00000158786	PLA2G2F	1	20139428	20148398	633	5
ENSG00000187980	PLA2G2C	1	20163994	20177363	447	4
ENSG00000162543	UBXN10	1	20190562	20191401	840	1
ENSG00000158816	VWA5B1	1	20310602	20354260	3645	21
ENSG00000162545	CAMK2N1	1	20483652	20485379	234	2
ENSG00000090432	MUL1	1	20500693	20508024	1056	4
ENSG00000183114	FAM43B	1	20552974	20553960	987	1
ENSG00000158825	CDA	1	20589130	20618565	438	4
ENSG00000158828	PINK1	1	20633549	20650688	1743	8
ENSG00000244038	DDOST	1	20652382	20661401	1317	11
ENSG00000117245	KIF17	1	20664587	20717706	3084	15
ENSG00000189410	SH2D5	1	20721795	20728044	1269	9
ENSG00000127483	HP1BP3	1	20744800	20780440	1659	12
ENSG00000075151	EIF4G3	1	20807322	21176836	4923	33
ENSG00000117298	ECE1	1	21217714	21345378	2310	19
ENSG00000142794	NBPF3	1	21445087	21483383	1899	14
ENSG00000289715	ENSG00000289715	1	21547404	21553999	141	2
ENSG00000162551	ALPL	1	21554082	21577645	1572	11
ENSG00000076864	RAP1GAP	1	21597723	21651822	1989	21
ENSG00000090686	USP48	1	21679420	21782957	3105	27
ENSG00000187942	LDLRAD2	1	21812452	21822212	816	5
ENSG00000142798	HSPG2	1	21823319	21937217	13173	97
ENSG00000219073	CELA3B	1	21977040	21998186	810	8
ENSG00000142789	CELA3A	1	22001675	22012464	810	8
ENSG00000289694	ENSG00000289694	1	22078479	22091514	573	5
ENSG00000070831	CDC42	1	22078479	22091514	573	5
ENSG00000162552	WNT4	1	22120053	22142922	1053	5
ENSG00000184677	ZBTB40	1	22489949	22526393	3717	17
ENSG00000070886	EPHA8	1	22563636	22601738	3015	17
ENSG00000173372	C1QA	1	22637617	22639404	735	2
ENSG00000289692	ENSG00000289692	1	22637617	22644067	629	4
ENSG00000159189	C1QC	1	22644024	22647780	735	2
ENSG00000173369	C1QB	1	22659463	22661383	753	2
ENSG00000133216	EPHB2	1	22710983	22913867	2958	16
ENSG00000215906	LACTBL1	1	22953046	22972316	1737	7
ENSG00000227868	TEX46	1	23010904	23019001	363	3
ENSG00000004487	KDM1A	1	23019597	23083361	2628	21
ENSG00000169641	LUZP1	1	23088898	23094261	3228	2
ENSG00000179546	HTR1D	1	23193089	23194219	1131	1
ENSG00000125944	HNRNPR	1	23306493	23341008	1899	10
ENSG00000125945	ZNF436	1	23361972	23368005	1410	3
ENSG00000204219	TCEA3	1	23381469	23424633	1044	11
ENSG00000088280	ASAP3	1	23429859	23484133	2709	25
ENSG00000007968	E2F2	1	23509883	23530793	1311	7
ENSG00000117318	ID3	1	23558963	23559426	357	2
ENSG00000142676	RPL11	1	23691824	23696370	534	6
ENSG00000011007	ELOA	1	23743504	23759570	2316	11
ENSG00000057757	PITHD1	1	23778516	23787373	633	6
ENSG00000011009	LYPLA2	1	23792683	23794729	693	9
ENSG00000117308	GALE	1	23795952	23799007	1044	10
ENSG00000117305	HMGCL	1	23802466	23825415	975	9
ENSG00000179163	FUCA1	1	23845718	23868286	1398	8
ENSG00000188822	CNR2	1	23874538	23875617	1080	1
ENSG00000189266	PNRC2	1	23960968	23961874	417	1
ENSG00000188529	SRSF10	1	23967666	23980255	786	6
ENSG00000142661	MYOM3	1	24057367	24108636	4311	36
ENSG00000142677	IL22RA1	1	24120808	24143082	1722	7
ENSG00000185436	IFNLR1	1	24157133	24187248	1560	7
ENSG00000158055	GRHL3	1	24319552	24364368	1806	16
ENSG00000001460	STPG1	1	24358546	24401388	1002	8
ENSG00000001461	NIPAL3	1	24419548	24469182	1218	11
ENSG00000117602	RCAN3	1	24514373	24535274	723	4
ENSG00000184454	NCMAP	1	24595431	24605744	306	3
ENSG00000133226	SRRM1	1	24643327	24672283	2712	17
ENSG00000169504	CLIC4	1	24745554	24840934	759	6
ENSG00000020633	RUNX3	1	24902125	24964571	1245	5
ENSG00000117614	SYF2	1	25223269	25232467	729	7
ENSG00000117616	RSRP1	1	25242592	25246963	870	4
ENSG00000187010	RHD	1	25272548	25329133	1251	10
ENSG00000183726	TMEM50A	1	25340487	25360702	471	6
ENSG00000188672	RHCE	1	25362530	25420786	1251	10
ENSG00000204178	MACO1	1	25431099	25498463	1992	11
ENSG00000157978	LDLRAP1	1	25543699	25566989	924	9
ENSG00000117643	MAN1C1	1	25617798	25783786	1890	12
ENSG00000162430	SELENON	1	25800231	25815715	1770	13
ENSG00000255054	ENSG00000255054	1	25813973	25823024	129	3
ENSG00000117640	MTFR1L	1	25823105	25832023	876	6
ENSG00000127423	AUNIP	1	25832091	25859357	1071	3
ENSG00000182749	PAQR7	1	25862802	25863839	1038	1
ENSG00000117632	STMN1	1	25885726	25904676	447	4
ENSG00000158006	PAFAH2	1	25961992	25990816	1176	10
ENSG00000158008	EXTL1	1	26022647	26035344	2028	11
ENSG00000158014	SLC30A2	1	26039163	26045896	1116	8
ENSG00000158022	TRIM63	1	26051876	26067494	1059	9
ENSG00000175087	PDIK1L	1	26114309	26122574	1023	2
ENSG00000197245	FAM110D	1	26161292	26162104	813	1
ENSG00000282872	C1orf232	1	26164164	26168499	558	4
ENSG00000142684	ZNF593	1	26169984	26170713	402	3
ENSG00000236782	ZNF593OS	1	26171192	26171661	189	2
ENSG00000142675	CNKSR1	1	26177548	26189545	2139	21
ENSG00000188782	CATSPER4	1	26190628	26202539	1416	10
ENSG00000130695	CEP85	1	26239784	26277290	2283	13
ENSG00000142669	SH3BGRL3	1	26280156	26281120	279	3
ENSG00000158062	UBXN11	1	26282302	26302883	1560	14
ENSG00000169442	CD52	1	26318018	26320299	183	2
ENSG00000176092	CRYBG2	1	26321971	26360049	4983	19
ENSG00000176083	ZNF683	1	26361654	26374290	1512	5
ENSG00000131914	LIN28A	1	26410892	26426455	627	4
ENSG00000117682	DHDDS	1	26432946	26469128	999	8
ENSG00000198830	HMGN2	1	26472613	26475145	270	6
ENSG00000117676	RPS6KA1	1	26529921	26574440	2205	22
ENSG00000117713	ARID1A	1	26696404	26780753	6855	20
ENSG00000060642	PIGV	1	26790816	26797891	1479	3
ENSG00000204160	ZDHHC18	1	26826805	26856223	1164	8
ENSG00000175793	SFN	1	26863213	26863956	744	1
ENSG00000142751	GPN2	1	26879680	26890096	930	5
ENSG00000198746	GPATCH3	1	26890807	26900442	1575	7
ENSG00000090273	NUDC	1	26911143	26946178	993	9
ENSG00000131910	NR0B2	1	26911848	26913940	771	2
ENSG00000175707	KDF1	1	26950072	26952380	1194	3
ENSG00000253368	TRNP1	1	26993787	26994467	681	1
ENSG00000158246	TENT5B	1	27005947	27012670	1275	2
ENSG00000090020	SLC9A1	1	27100310	27154334	2445	12
ENSG00000142784	WDTC1	1	27261055	27306380	2031	15
ENSG00000186501	TMEM222	1	27322198	27335463	624	6
ENSG00000142765	SYTL1	1	27345335	27353849	1686	14
ENSG00000142733	MAP3K6	1	27355383	27366597	3864	29
ENSG00000142748	FCN3	1	27369239	27374818	897	8
ENSG00000174950	CD164L2	1	27379506	27383239	522	6
ENSG00000181773	GPR3	1	27393799	27394788	990	1
ENSG00000158195	WASF2	1	27408192	27428890	1494	8
ENSG00000126705	AHDC1	1	27547307	27552115	4809	1
ENSG00000000938	FGR	1	27612917	27623916	1587	11
ENSG00000126709	IFI6	1	27666384	27669314	390	4
ENSG00000009780	FAM76A	1	27726081	27760578	921	9
ENSG00000117758	STX12	1	27773308	27822326	828	9
ENSG00000117751	PPP1R8	1	27830836	27850443	1053	7
ENSG00000130775	THEMIS2	1	27872572	27885919	1929	6
ENSG00000117748	RPA2	1	27892166	27914660	810	9
ENSG00000130768	SMPDL3B	1	27935184	27958835	1365	8
ENSG00000158156	XKR8	1	27960070	27967197	1185	3
ENSG00000158161	EYA3	1	27974469	28058026	1719	17
ENSG00000169403	PTAFR	1	28149996	28151021	1026	1
ENSG00000126698	DNAJC8	1	28200201	28232998	759	9
ENSG00000130770	ATP5IF1	1	28236184	28246634	318	3
ENSG00000130766	SESN2	1	28259848	28280799	1440	10
ENSG00000130772	MED18	1	28330663	28334967	624	2
ENSG00000204138	PHACTR4	1	28407448	28496546	2106	13
ENSG00000180198	RCC1	1	28518661	28538004	1263	9
ENSG00000180098	TRNAU1AP	1	28553111	28577633	861	9
ENSG00000120656	TAF12	1	28589619	28624017	483	5
ENSG00000188060	RAB42	1	28592512	28594114	654	2
ENSG00000162419	GMEB1	1	28683613	28714770	1689	9
ENSG00000198492	YTHDF2	1	28737121	28768949	1737	5
ENSG00000116329	OPRD1	1	28812384	28863280	1116	3
ENSG00000159023	EPB41	1	28987438	29115794	2592	19
ENSG00000253304	TMEM200B	1	29120908	29121828	921	1
ENSG00000116350	SRSF4	1	29148413	29181752	1482	6
ENSG00000116353	MECR	1	29194025	29230906	1119	10
ENSG00000060656	PTPRU	1	29236645	29325658	4308	30
ENSG00000289710	ENSG00000289710	1	30576658	30576825	168	1
ENSG00000162510	MATN1	1	30713585	30723551	1488	8
ENSG00000162511	LAPTM5	1	30733831	30757745	786	8
ENSG00000162512	SDC3	1	30873214	30908586	1326	5
ENSG00000134644	PUM1	1	30933214	31065785	3564	21
ENSG00000084628	NKAIN1	1	31181706	31239547	621	7
ENSG00000060688	SNRNP40	1	31260075	31296751	1071	10
ENSG00000121766	ZCCHC17	1	31297082	31364218	723	7
ENSG00000121769	FABP3	1	31365889	31373014	399	4
ENSG00000168528	SERINC2	1	31409838	31434196	1365	10
ENSG00000142910	TINAGL1	1	31577149	31586976	1401	11
ENSG00000121764	HCRTR1	1	31619193	31632515	1275	7
ENSG00000162517	PEF1	1	31630616	31644864	852	5
ENSG00000084636	COL16A1	1	31652654	31702193	4812	70
ENSG00000121753	ADGRB2	1	31727423	31764802	4755	31
ENSG00000134668	SPOCD1	1	31790606	31815333	3648	15
ENSG00000184007	PTP4A2	1	31908855	31919065	501	5
ENSG00000288678	ENSG00000288678	1	31919566	31938010	117	2
ENSG00000121774	KHDRBS1	1	32013996	32042621	1329	9
ENSG00000121775	TMEM39B	1	32073048	32102670	1476	9
ENSG00000025800	KPNA6	1	32108131	32170891	1608	14
ENSG00000084652	TXLNA	1	32180346	32195192	1638	10
ENSG00000160050	CCDC28B	1	32201936	32205245	600	5
ENSG00000160051	IQCC	1	32205682	32208079	1398	5
ENSG00000222046	DCDC2B	1	32209094	32215894	1047	9
ENSG00000160055	TMEM234	1	32216413	32222322	420	5
ENSG00000084623	EIF3I	1	32222442	32245252	975	11
ENSG00000183615	FAM167B	1	32247422	32248598	489	2
ENSG00000182866	LCK	1	32274198	32285713	1527	12
ENSG00000116478	HDAC1	1	32292170	32333041	1446	14
ENSG00000175130	MARCKSL1	1	32334600	32336033	585	2
ENSG00000225828	FAM229A	1	32361436	32362091	381	3
ENSG00000162526	TSSK3	1	32362702	32364253	804	2
ENSG00000160058	BSDC1	1	32366625	32394414	1290	11
ENSG00000273274	ZBTB8B	1	32470625	32485415	1485	3
ENSG00000254553	ENSG00000254553	1	32470625	32536525	1536	5
ENSG00000160062	ZBTB8A	1	32592932	32600416	1323	3
ENSG00000176261	ZBTB8OS	1	32600256	32650529	501	7
ENSG00000162521	RBBP4	1	32651307	32680543	1275	12
ENSG00000162520	SYNC	1	32681791	32702660	1446	5
ENSG00000162522	KIAA1522	1	32741955	32772884	3282	7
ENSG00000134684	YARS1	1	32775984	32817244	1584	13
ENSG00000116497	S100PBP	1	32826100	32856035	1224	5
ENSG00000160097	FNDC5	1	32864297	32870890	636	6
ENSG00000121905	HPCA	1	32888899	32893859	579	3
ENSG00000121900	TMEM54	1	32894808	32901238	666	6
ENSG00000116514	RNF19B	1	32936809	32964685	2193	9
ENSG00000004455	AK2	1	33010832	33036828	717	6
ENSG00000142920	AZIN2	1	33082250	33120179	1380	9
ENSG00000116525	TRIM62	1	33147180	33181432	1425	5
ENSG00000160094	ZNF362	1	33270575	33299043	1260	8
ENSG00000184389	A3GALT2	1	33306769	33321098	1020	5
ENSG00000134686	PHC2	1	33324868	33375539	2577	14
ENSG00000121903	ZSCAN20	1	33479289	33495473	3129	7
ENSG00000121904	CSMD2	1	33519521	34165813	10893	70
