GENE	LINEAGE	CHR_query	Species	Amino acid length
GRM5	GGO	CM055452.2	GGO	105
GRM5	GGO	CM055455.2	GGO	305
HLA-DRB5	GGO	CM055451.2	GGO	267
IGLL1	GGO	CM068951.1	GGO	200
ITLN1	GGO	CM055446.2	GGO	314
KANL1	GGO	CM055450.2	GGO	458
KCJ12	GGO	CM055450.2	GGO	434
KCJ12	GGO	CM055450.2	GGO	536
KCNJ18	GGO	CM055450.2	GGO	434
KDM8	GGO	CM055464.2	GGO	455
KI3L3	GGO	CM055466.2	GGO	443
KRA52	GGO	CM055455.2	GGO	196
LGALS9C	GGO	CM055450.2	GGO	267
LMBR1	GGO	CM055446.2	GGO	361
MORN3	GGO	CM055446.2	GGO	275
MORN3	GGO	CM055449.2	GGO	196
MORN3	GGO	CM055451.2	GGO	275
MORN3	GGO	CM055452.2	GGO	196
MORN3	GGO	CM055452.2	GGO	176
MORN3	GGO	CM055454.2	GGO	257
MORN3	GGO	CM055454.2	GGO	127
MORN3	GGO	CM055455.2	GGO	196
MORN3	GGO	CM055455.2	GGO	142
MORN3	GGO	CM055456.2	GGO	196
MORN3	GGO	CM055458.2	GGO	196
MORN3	GGO	CM055461.2	GGO	178
MORN3	GGO	CM055462.2	GGO	176
MORN3	GGO	CM055463.2	GGO	275
MORN3	GGO	CM055464.2	GGO	196
MORN3	GGO	CM055465.2	GGO	196
MORN3	GGO	CM055466.2	GGO	196
MORN3	GGO	CM068950.1	GGO	176
MORN3	GGO	CM068950.1	GGO	196
MOST1	GGO	CM068950.1	GGO	91
MPP8	GGO	CM055456.2	GGO	234
MPP8	GGO	CM055462.2	GGO	538
MSTRG.4191	GGO	CM055449.2	GGO	352
MSTRG.596	GGO	CM055446.2	GGO	1483
NALD2	GGO	CM055455.2	GGO	575
NDUFA8	GGO	CM055449.2	GGO	72
NDUFA8	GGO	CM055452.2	GGO	72
NDUFA8	GGO	CM055454.2	GGO	257
NDUFA8	GGO	CM055461.2	GGO	72
NDUFA8	GGO	CM055462.2	GGO	72
NDUFA8	GGO	CM055464.2	GGO	72
NDUFA8	GGO	CM068950.1	GGO	173
NEMO	GGO	CM055469.2	GGO	304
NOM1	GGO	CM055446.2	GGO	1090
NSE1	GGO	CM055464.2	GGO	267
NSMCE1	GGO	CM055464.2	GGO	267
O10A5	GGO	CM055455.2	GGO	322
OFD1	GGO	CM055465.2	GGO	1008
OFD1	GGO	CM055465.2	GGO	1920
OFD1	GGO	CM055470.2	GGO	170
ORC5	GGO	CM055459.2	GGO	732
PACER	GGO	CM055460.2	GGO	664
PACER	GGO	CM055460.2	GGO	412
PDZK1	GGO	CM055446.2	GGO	535
POLR3K	GGO	CM055464.2	GGO	109
PPIF	GGO	CM055454.2	GGO	143
PRSS3	GGO	CM055459.2	GGO	311
PSG11	GGO	CM055466.2	GGO	437
PVR	GGO	CM055452.2	GGO	326
RAB2B	GGO	CM055449.2	GGO	234
RAB2B	GGO	CM055458.2	GGO	230
RABL2A	GGO	CM068951.1	GGO	230
RABL2B	GGO	CM055449.2	GGO	234
RABL2B	GGO	CM055457.2	GGO	230
RABL2B	GGO	CM055458.2	GGO	230
RAMAC	GGO	CM055454.2	GGO	123
RANG	GGO	CM055452.2	GGO	201
RASA4	GGO	CM055452.2	GGO	352
RBMY1A1	GGO	CM055470.2	GGO	461
RBMY1E	GGO	CM055470.2	GGO	424
RBY1B	GGO	CM055470.2	GGO	424
RHDF2	GGO	CM055457.2	GGO	919
RHPN2	GGO	CM055462.2	GGO	602
RHPN2	GGO	CM055462.2	GGO	601
RHPN2	GGO	CM055464.2	GGO	542
RIMBP3C	GGO	CM068951.1	GGO	1636
RL34	GGO	CM055466.2	GGO	211
RM45	GGO	CM055450.2	GGO	178
ROP1A	GGO	CM068950.1	GGO	213
RT05	GGO	CM055458.2	GGO	201
RT05	GGO	CM055458.2	GGO	265
S35F5	GGO	CM055446.2	GGO	268
S35F5	GGO	CM055449.2	GGO	287
S35F5	GGO	CM055449.2	GGO	268
S35F5	GGO	CM055451.2	GGO	160
S35F5	GGO	CM055451.2	GGO	268
S35F5	GGO	CM055452.2	GGO	287
S35F5	GGO	CM055452.2	GGO	268
S35F5	GGO	CM055453.2	GGO	187
S35F5	GGO	CM055453.2	GGO	268
S35F5	GGO	CM055454.2	GGO	432
S35F5	GGO	CM055454.2	GGO	268
S35F5	GGO	CM055455.2	GGO	268
S35F5	GGO	CM055455.2	GGO	294
S35F5	GGO	CM055456.2	GGO	268
S35F5	GGO	CM055456.2	GGO	294
S35F5	GGO	CM055458.2	GGO	128
S35F5	GGO	CM055458.2	GGO	160
S35F5	GGO	CM055461.2	GGO	268
S35F5	GGO	CM055462.2	GGO	268
S35F5	GGO	CM055463.2	GGO	268
S35F5	GGO	CM055464.2	GGO	268
S35F5	GGO	CM055465.2	GGO	265
S35F5	GGO	CM055465.2	GGO	294
S35F5	GGO	CM055466.2	GGO	268
S35F5	GGO	CM055469.2	GGO	268
S35F5	GGO	CM068950.1	GGO	187
SAFB2	GGO	CM055458.2	GGO	460
SAFB2	GGO	CM055460.2	GGO	491
SAFB2	GGO	CM055462.2	GGO	504
SAFB2	GGO	CM055470.2	GGO	556
SENP1	GGO	CM055446.2	GGO	677
SLC6A8	GGO	CM055452.2	GGO	500
SLC6A8	GGO	CM055460.2	GGO	491
SLC6A8	GGO	CM055460.2	GGO	622
SLC6A8	GGO	CM055462.2	GGO	619
SLC6A8	GGO	CM055463.2	GGO	626
SNX8	GGO	CM055464.2	GGO	697
SOCS6	GGO	CM055453.2	GGO	536
SORL	GGO	CM055464.2	GGO	3813
SSX1	GGO	CM055469.2	GGO	184
ST1A3	GGO	CM055464.2	GGO	351
SULT1A2	GGO	CM055464.2	GGO	296
SULT1A4	GGO	CM055464.2	GGO	351
TADBP	GGO	CM055457.2	GGO	228
TAF1D	GGO	CM055465.2	GGO	199
TBCD1	GGO	CM055458.2	GGO	1011
TBCD1	GGO	CM055460.2	GGO	1011
TBCD1	GGO	CM055462.2	GGO	1011
TBG1	GGO	CM055462.2	GGO	1032
TBG1	GGO	CM055462.2	GGO	140
TEX14	GGO	CM055458.2	GGO	707
TEX14	GGO	CM055458.2	GGO	687
TEX14	GGO	CM055458.2	GGO	598
TEX14	GGO	CM055462.2	GGO	723
THOC3	GGO	CM055450.2	GGO	352
TIMM23B-AGAP6	GGO	CM055454.2	GGO	687
TINCR	GGO	CM055459.2	GGO	109
TINCR	GGO	CM055460.2	GGO	109
TINCR	GGO	CM055463.2	GGO	109
TINCR	GGO	CM055466.2	GGO	121
TITIN	GGO	CM055457.2	GGO	213
TITIN	GGO	CM055464.2	GGO	3939
TITIN	GGO	CM055464.2	GGO	2733
TITIN	GGO	CM055464.2	GGO	2784
TITIN	GGO	CM055464.2	GGO	2502
TITIN	GGO	CM055464.2	GGO	1680
TITIN	GGO	CM055464.2	GGO	3868
TITIN	GGO	CM055464.2	GGO	4020
TITIN	GGO	CM055464.2	GGO	2571
TITIN	GGO	CM055464.2	GGO	3064
TITIN	GGO	CM055464.2	GGO	2721
TITIN	GGO	CM055464.2	GGO	2897
TPPP	GGO	CM055465.2	GGO	220
TTL11	GGO	CM055449.2	GGO	339
TXD11	GGO	CM055464.2	GGO	745
TYW1B	GGO	CM055452.2	GGO	715
UIF	GGO	CM055469.2	GGO	319
WIPI2	GGO	CM055450.2	GGO	345
YAE1	GGO	CM055452.2	GGO	206
Z286A	GGO	CM055450.2	GGO	524
Z3H7A	GGO	CM055464.2	GGO	972
ZC3H7A	GGO	CM055464.2	GGO	972
ZN131	GGO	CM055466.2	GGO	624
ZN131	GGO	CM055466.2	GGO	909
ZN133	GGO	CM055466.2	GGO	746
ZN383	GGO	CM055466.2	GGO	446
ZN765	GGO	CM055465.2	GGO	87
ZN765	GGO	CM055466.2	GGO	813
ZSA5A	GGO	CM055466.2	GGO	497
ZZZ3	GGO	CM055466.2	GGO	441
ANTXRL	PAB	CM054687.2	PAB	594
ATP9A	PAB	CM068844.1	PAB	344
BAK	PAB	CM054693.2	PAB	212
BIRC8	PAB	CM054691.2	PAB	310
CA13	PAB	CM054686.2	PAB	340
CAZA1	PAB	CM054690.2	PAB	286
CCD32	PAB	CM054684.2	PAB	580
CD11B	PAB	CM054679.2	PAB	786
CD209	PAB	CM054699.2	PAB	257
CD209	PAB	CM054699.2	PAB	405
CD209	PAB	CM054702.2	PAB	112
CDY1	PAB	CM054703.2	PAB	541
CDY1	PAB	CM054703.2	PAB	602
CDY1	PAB	CM054703.2	PAB	553
CDY1	PAB	CM054703.2	PAB	597
CLASR	PAB	CM054688.2	PAB	256
CLCKB	PAB	CM054679.2	PAB	688
COBA1	PAB	CM054703.2	PAB	333
CP2D6	PAB	CM068844.1	PAB	498
CT453	PAB	CM054702.2	PAB	190
CT45A6	PAB	CM054702.2	PAB	190
CYTT	PAB	CM054700.2	PAB	141
CYTT	PAB	CM054700.2	PAB	142
DDT	PAB	CM068844.1	PAB	169
DDX50	PAB	CM054687.2	PAB	183
DEF3	PAB	CM054686.2	PAB	95
DEFA3	PAB	CM054686.2	PAB	95
DGCR6L	PAB	CM068844.1	PAB	181
DMP34	PAB	CM054695.2	PAB	140
DMP46	PAB	CM054695.2	PAB	635
DMP46	PAB	CM054695.2	PAB	132
DMP46	PAB	CM054695.2	PAB	637
DMP46	PAB	CM054695.2	PAB	659
DMP46	PAB	CM054695.2	PAB	658
DMP46	PAB	CM054695.2	PAB	129
E2F5	PAB	CM054686.2	PAB	207
E2F5	PAB	CM054686.2	PAB	163
E2F5	PAB	CM054686.2	PAB	143
E2F5	PAB	CM054686.2	PAB	346
E2F5	PAB	CM054686.2	PAB	154
ECH1	PAB	CM054699.2	PAB	329
ELOA2	PAB	CM054696.2	PAB	754
F131C	PAB	CM054679.2	PAB	196
FAHD2A	PAB	CM054691.2	PAB	315
FAM25A	PAB	CM054687.2	PAB	89
FM25C	PAB	CM054687.2	PAB	89
G2E3	PAB	CM054693.2	PAB	707
G2E3	PAB	CM068843.1	PAB	704
GGA2	PAB	CM054688.2	PAB	606
GOLGA8G	PAB	CM054695.2	PAB	562
H2BW2	PAB	CM054702.2	PAB	175
HBAZ	PAB	CM054697.2	PAB	143
HORN	PAB	CM054690.2	PAB	344
KALM	PAB	CM054703.2	PAB	132
KT33B	PAB	CM054689.2	PAB	506
LIMS4	PAB	CM054691.2	PAB	255
MAGBI	PAB	CM054702.2	PAB	315
MERB1	PAB	CM054689.2	PAB	127
MERB1	PAB	CM054697.2	PAB	99
MUC1	PAB	CM068843.1	PAB	599
NELL1	PAB	CM054688.2	PAB	496
NPB11	PAB	CM054693.2	PAB	709
NPIPB3	PAB	CM054697.2	PAB	416
NPIPB4	PAB	CM054693.2	PAB	625
NREP	PAB	CM054685.2	PAB	68
NTAN1	PAB	CM054697.2	PAB	267
NTAN1	PAB	CM054697.2	PAB	284
NUD18	PAB	CM054679.2	PAB	324
NUP50	PAB	CM054683.2	PAB	497
NXPE1	PAB	CM054688.2	PAB	548
O11G2	PAB	CM054685.2	PAB	215
OR2J3	PAB	CM054684.2	PAB	310
OZF	PAB	CM068843.1	PAB	559
P2RX2	PAB	CM068844.1	PAB	442
P2RX2	PAB	CM068844.1	PAB	115
PDZD2	PAB	CM054698.2	PAB	1148
POTEH	PAB	CM054694.2	PAB	938
PRAMEF14	PAB	CM054679.2	PAB	475
PTN1	PAB	CM068843.1	PAB	593
RB40L	PAB	CM054702.2	PAB	279
RFPL3	PAB	CM068844.1	PAB	329
RFPL3	PAB	CM068844.1	PAB	289
RNF17	PAB	CM054693.2	PAB	1719
ROA3	PAB	CM054679.2	PAB	346
ROA3	PAB	CM054693.2	PAB	320
ROPN1B	PAB	CM068843.1	PAB	213
RUFY4	PAB	CM054687.2	PAB	119
S41A3	PAB	CM068843.1	PAB	362
SC6A5	PAB	CM054688.2	PAB	558
SC6A5	PAB	CM054688.2	PAB	211
SC6A5	PAB	CM054688.2	PAB	790
SCNNB	PAB	CM054697.2	PAB	641
SCNNB	PAB	CM054697.2	PAB	268
SIN3A	PAB	CM054695.2	PAB	119
SLC6A5	PAB	CM054688.2	PAB	558
SRPK2	PAB	CM054686.2	PAB	226
SSBP3	PAB	CM054701.2	PAB	388
TBC3F	PAB	CM054698.2	PAB	214
TBC3F	PAB	CM054698.2	PAB	235
TLE6	PAB	CM054702.2	PAB	201
TM6S2	PAB	CM054702.2	PAB	147
TNFA	PAB	CM054697.2	PAB	162
TNFA	PAB	CM054697.2	PAB	153
TRIM43	PAB	CM054691.2	PAB	448
TUSC3	PAB	CM054679.2	PAB	757
XIAP	PAB	CM054699.2	PAB	564
YH009	PAB	CM054692.2	PAB	417
ZBT17	PAB	CM054699.2	PAB	646
ZN124	PAB	CM054699.2	PAB	97
ZN321	PAB	CM054699.2	PAB	163
ZN598	PAB	CM054692.2	PAB	264
ZN653	PAB	CM054699.2	PAB	1209
ZNF705E	PAB	CM054686.2	PAB	227
ZNF705E	PAB	CM054695.2	PAB	276
ZNF736	PAB	CM054685.2	PAB	427
ZNF93	PAB	CM054699.2	PAB	622
ZNRF2	PAB	CM054685.2	PAB	244
AMYP	Pongo	CM054679.2	PAB	435
AN36A	Pongo	CM054691.2	PAB	355
AN36A	Pongo	CM054701.2	PAB	1831
AN36A	Pongo	CM068844.1	PAB	2196
ANM7	Pongo	CM054688.2	PAB	532
ANP32E	Pongo	CM054679.2	PAB	268
APBB1	Pongo	CM054695.2	PAB	361
APBB1	Pongo	CM054695.2	PAB	368
AT8A2	Pongo	CM054693.2	PAB	710
AT8A2	Pongo	CM054693.2	PAB	149
BRCC3	Pongo	CM054683.2	PAB	322
CAH6	Pongo	CM054686.2	PAB	263
CAH6	Pongo	CM054686.2	PAB	271
CAH6	Pongo	CM054686.2	PAB	340
CASPC	Pongo	CM054688.2	PAB	422
CASPC	Pongo	CM054688.2	PAB	342
CBX7	Pongo	CM054684.2	PAB	255
CCNQ	Pongo	CM054683.2	PAB	285
CEP20	Pongo	CM054697.2	PAB	170
CNTP4	Pongo	CM054690.2	PAB	861
COG7	Pongo	CM054697.2	PAB	770
COG7	Pongo	CM054697.2	PAB	771
CP250	Pongo	CM054689.2	PAB	109
CP250	Pongo	CM054697.2	PAB	170
CP7B1	Pongo	CM054686.2	PAB	507
CREG2	Pongo	CM054691.2	PAB	224
CREG2	Pongo	CM054691.2	PAB	239
CST1	Pongo	CM054700.2	PAB	141
CT47A	Pongo	CM054702.2	PAB	300
CT47A7	Pongo	CM054702.2	PAB	300
CTAGE15	Pongo	CM054685.2	PAB	801
CTGEF	Pongo	CM054685.2	PAB	801
CTGEF	Pongo	CM054693.2	PAB	776
CYTN	Pongo	CM054700.2	PAB	142
CYTN	Pongo	CM054700.2	PAB	141
CYTSA	Pongo	CM068844.1	PAB	981
D19P2	Pongo	CM054685.2	PAB	210
DPF3	Pongo	CM054699.2	PAB	436
DRICH1	Pongo	CM068844.1	PAB	276
ERR1	Pongo	CM054690.2	PAB	423
F182A	Pongo	CM054698.2	PAB	188
F182A	Pongo	CM054698.2	PAB	229
FSCN2	Pongo	CM054695.2	PAB	493
FSCN2	Pongo	CM054695.2	PAB	549
GCC1	Pongo	CM054691.2	PAB	453
GCC1	Pongo	CM054691.2	PAB	223
GCC1	Pongo	CM054691.2	PAB	626
GCC1	Pongo	CM054699.2	PAB	210
GCC2	Pongo	CM054691.2	PAB	1702
GLUD2	Pongo	CM054702.2	PAB	559
GLYG2	Pongo	CM054703.2	PAB	412
GOG6B	Pongo	CM054695.2	PAB	752
GOG6D	Pongo	CM054695.2	PAB	702
GOG8H	Pongo	CM054695.2	PAB	132
GOLGA6A	Pongo	CM054695.2	PAB	737
GOLGA6L1	Pongo	CM054695.2	PAB	637
GOLGA6L1	Pongo	CM054695.2	PAB	651
GOLGA6L6	Pongo	CM054695.2	PAB	768
GOLGA8O	Pongo	CM054695.2	PAB	606
GUSB	Pongo	CM054685.2	PAB	462
HEATR6	Pongo	CM054698.2	PAB	1178
ICAM5	Pongo	CM054698.2	PAB	553
IL32	Pongo	CM054697.2	PAB	211
IL32	Pongo	CM054697.2	PAB	169
KCTD5	Pongo	CM054697.2	PAB	217
LITAF	Pongo	CM054697.2	PAB	162
LYSC	Pongo	CM054691.2	PAB	213
M4A6A	Pongo	CM054688.2	PAB	405
MAGB4	Pongo	CM054702.2	PAB	316
MAGB4	Pongo	CM054702.2	PAB	312
MAGC1	Pongo	CM054702.2	PAB	660
MAGC1	Pongo	CM054702.2	PAB	1289
MAGC1	Pongo	CM054702.2	PAB	1290
MCTP2	Pongo	CM054695.2	PAB	125
MCTP2	Pongo	CM054695.2	PAB	176
MCTP2	Pongo	CM054695.2	PAB	768
MICA	Pongo	CM054684.2	PAB	392
MIPEP	Pongo	CM054693.2	PAB	845
MIPEP	Pongo	CM054693.2	PAB	252
MIPEP	Pongo	CM054693.2	PAB	792
MIX23	Pongo	CM054696.2	PAB	177
MMP23	Pongo	CM054679.2	PAB	267
MMP23	Pongo	CM054679.2	PAB	370
MORC4	Pongo	CM054699.2	PAB	735
MSTRG.2403	Pongo	CM054698.2	PAB	528
MUC2	Pongo	CM068843.1	PAB	365
MUC20	Pongo	CM068843.1	PAB	784
MUC20	Pongo	CM068843.1	PAB	646
MUC4	Pongo	CM054683.2	PAB	326
MUC4	Pongo	CM054685.2	PAB	497
MUC4	Pongo	CM068843.1	PAB	1187
MYO19	Pongo	CM054698.2	PAB	556
NBR1	Pongo	CM054698.2	PAB	113
NP1L4	Pongo	CM054679.2	PAB	387
NUD11	Pongo	CM054702.2	PAB	165
NUTM2A	Pongo	CM054687.2	PAB	771
O10A7	Pongo	CM054699.2	PAB	310
PIGW	Pongo	CM054698.2	PAB	505
PIGW	Pongo	CM054698.2	PAB	616
PPIE	Pongo	CM054679.2	PAB	306
PRKX	Pongo	CM054702.2	PAB	537
PRPC	Pongo	CM054689.2	PAB	133
PSG1	Pongo	CM054699.2	PAB	327
PSIP1	Pongo	CM054696.2	PAB	570
QCR2	Pongo	CM054697.2	PAB	377
QCR2	Pongo	CM054697.2	PAB	454
RBIS	Pongo	CM054686.2	PAB	101
RFX8	Pongo	CM054691.2	PAB	606
RFX8	Pongo	CM054691.2	PAB	180
RFX8	Pongo	CM054691.2	PAB	929
RFX8	Pongo	CM054691.2	PAB	627
RFX8	Pongo	CM054691.2	PAB	494
RL18	Pongo	CM054679.2	PAB	248
RMI1	Pongo	CM054697.2	PAB	148
RS3A	Pongo	CM054682.2	PAB	265
S26A4	Pongo	CM054702.2	PAB	308
S26A4	Pongo	CM054702.2	PAB	410
SERB	Pongo	CM054685.2	PAB	112
SERB	Pongo	CM054685.2	PAB	164
SERB	Pongo	CM054685.2	PAB	222
SORC3	Pongo	CM054693.2	PAB	262
SORC3	Pongo	CM054693.2	PAB	263
SORC3	Pongo	CM054693.2	PAB	264
SPDE4	Pongo	CM054698.2	PAB	238
SPDE7	Pongo	CM054685.2	PAB	280
SRSF9	Pongo	CM054693.2	PAB	120
SSPO	Pongo	CM054685.2	PAB	2747
SSX2B	Pongo	CM054702.2	PAB	215
TBC1D28	Pongo	CM054698.2	PAB	144
TBC1D3B	Pongo	CM054698.2	PAB	524
TBC1D3I	Pongo	CM054698.2	PAB	548
TBC1D3K	Pongo	CM054698.2	PAB	526
TENS3	Pongo	CM054698.2	PAB	606
TENS3	Pongo	CM054698.2	PAB	498
TENS3	Pongo	CM054698.2	PAB	538
TENS3	Pongo	CM054698.2	PAB	490
TENS3	Pongo	CM054698.2	PAB	647
TENS3	Pongo	CM054698.2	PAB	588
TENS3	Pongo	CM054698.2	PAB	634
TM231	Pongo	CM054697.2	PAB	206
TN13B	Pongo	CM054698.2	PAB	231
TRIM73	Pongo	CM054685.2	PAB	297
TUBB8	Pongo	CM068844.1	PAB	292
TV23B	Pongo	CM054697.2	PAB	205
TXD17	Pongo	CM054691.2	PAB	223
UBP5	Pongo	CM054697.2	PAB	343
UBP5	Pongo	CM054697.2	PAB	386
UBP5	Pongo	CM054697.2	PAB	1022
UBP5	Pongo	CM054697.2	PAB	1134
UBP5	Pongo	CM054697.2	PAB	391
UBP5	Pongo	CM054697.2	PAB	1046
UBP5	Pongo	CM054697.2	PAB	309
UBP5	Pongo	CM054697.2	PAB	1350
UBP54	Pongo	CM054698.2	PAB	1407
UBP54	Pongo	CM054698.2	PAB	1317
UBP54	Pongo	CM054698.2	PAB	1057
UBP54	Pongo	CM054698.2	PAB	1432
UBP54	Pongo	CM054698.2	PAB	237
UBP54	Pongo	CM054698.2	PAB	99
YB057	Pongo	CM054692.2	PAB	399
Z705A	Pongo	CM054686.2	PAB	348
Z705A	Pongo	CM054695.2	PAB	301
Z705A	Pongo	CM054695.2	PAB	329
Z705A	Pongo	CM054695.2	PAB	704
Z705A	Pongo	CM054695.2	PAB	276
ZBT7A	Pongo	CM054699.2	PAB	532
ZN135	Pongo	CM054685.2	PAB	441
ZN195	Pongo	CM054682.2	PAB	174
ZN417	Pongo	CM054699.2	PAB	577
ZN467	Pongo	CM054685.2	PAB	596
ZN622	Pongo	CM054686.2	PAB	101
ZN646	Pongo	CM054679.2	PAB	883
ZN646	Pongo	CM054701.2	PAB	398
ZN646	Pongo	CM054701.2	PAB	914
ZNF492	Pongo	CM054699.2	PAB	574
ZNF705D	Pongo	CM054695.2	PAB	301
ZNF716	Pongo	CM054685.2	PAB	446
1433T	PPA	CM055495.2	PPA	84
4EBP3	PPA	CM055488.2	PPA	120
A8MQT7	PPA	CM055495.2	PPA	185
ACTB	PPA	CM055485.2	PPA	960
AGRA3	PPA	CM055489.2	PPA	483
AK17A	PPA	CM055495.2	PPA	696
AK1C2	PPA	CM055480.2	PPA	324
AKAP17A	PPA	CM055495.2	PPA	696
APOBR	PPA	CM055490.2	PPA	1109
APOBR	PPA	CM055490.2	PPA	231
BCL9	PPA	CM055476.2	PPA	506
C4BPA	PPA	CM055472.2	PPA	598
CBWD5	PPA	CM055490.2	PPA	317
CC116	PPA	CM055483.2	PPA	165
CD99	PPA	CM055495.2	PPA	185
CKS1	PPA	CM055495.2	PPA	79
CLEC18A	PPA	CM055490.2	PPA	447
CNN2	PPA	CM055480.2	PPA	310
COX10	PPA	CM055491.2	PPA	444
CP2F1	PPA	CM055492.2	PPA	273
CPSF6	PPA	CM055482.2	PPA	255
CT45A	PPA	CM055495.2	PPA	190
CT45A1	PPA	CM055495.2	PPA	
CXXC5	PPA	CM055478.2	PPA	161
DB125	PPA	CM055480.2	PPA	158
DB125	PPA	CM055483.2	PPA	158
DB134	PPA	CM055479.2	PPA	66
DDX18	PPA	CM055477.2	PPA	651
DHRSX	PPA	CM055496.2	PPA	695
DYH11	PPA	CM055482.2	PPA	102
DYL1	PPA	CM055476.2	PPA	554
DYL1	PPA	CM055490.2	PPA	162
EFC1	PPA	CM055476.2	PPA	254
EFC1	PPA	CM055477.2	PPA	175
ENPP2	PPA	CM055492.2	PPA	193
ERF3A	PPA	CM055490.2	PPA	520
F106C	PPA	CM055491.2	PPA	170
F231L	PPA	CM055472.2	PPA	170
F231L	PPA	CM055472.2	PPA	203
F231L	PPA	CM055472.2	PPA	208
F90A3	PPA	CM055481.2	PPA	465
FKB1A	PPA	CM055485.2	PPA	198
FKBP6	PPA	CM055478.2	PPA	150
FSCB	PPA	CM055479.2	PPA	548
FSCB	PPA	CM055495.2	PPA	386
G3ST3	PPA	CM055482.2	PPA	450
GAGE1	PPA	CM055495.2	PPA	118
GELS	PPA	CM055483.2	PPA	307
GG6LS	PPA	CM055488.2	PPA	497
GJA1	PPA	CM055477.2	PPA	383
GLTL6	PPA	CM055478.2	PPA	378
GOLGA6L4	PPA	CM055488.2	PPA	574
GSTT1	PPA	CM068945.1	PPA	95
GTPBP6	PPA	CM055496.2	PPA	517
HIC2	PPA	CM068945.1	PPA	616
HMGB3	PPA	CM055483.2	PPA	159
HMGN2	PPA	CM055476.2	PPA	129
HMGN2	PPA	CM055484.2	PPA	91
HMGN2	PPA	CM055488.2	PPA	99
HSP7C	PPA	CM055478.2	PPA	646
HSP7C	PPA	CM055486.2	PPA	677
ICLN	PPA	CM055480.2	PPA	238
