gene	chrom	lineage	status	assembly	raw_id
TCP11X2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000215029
HNRNPH2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000126945
RHOXF2B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000203989
IDH3G	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000067829
SPIN2B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000186787
ATP6AP2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000182220
USP11	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102226
DIAPH2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147202
CT45A3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000269096
GPR82	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000171657
EOLA2	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000197021
HDAC8	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147099
H2BW1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000123569
SMC1A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000072501
MAGEA2B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000183305
ARSL	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000157399
CASK	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147044
FAM3A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000071889
BRCC3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000185515
SLC25A5	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000005022
MAGED1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000179222
BEX4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102409
GABRA3	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000011677
EDA	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000158813
VAMP7	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000124333
CYSLTR1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000173198
PRRG3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000130032
PIN4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102309
FGF13	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000129682
TAFAZZIN	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102125
CSAG1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198930
COX7B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000131174
TEX11	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000120498
OGT	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147162
CT47A7	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000228517
FMR1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102081
CHRDL1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101938
UPRT	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000094841
GAGE12H	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000224902
SPANXN5	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000204363
ERCC6L	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000186871
RBMXL3	X	ALLENOPITHECUS_NIGROVIRIDIS	M	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000175718
ZNF185	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147394
CCDC120	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147144
ALG13	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101901
PCDH19	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000165194
CNGA2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000183862
SRPK3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000184343
NHS	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000188158
NR0B1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169297
AMMECR1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101935
SLC35A2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102100
ZNF449	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000173275
KDM5C	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000126012
DGKK	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000274588
NAA10	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102030
ARHGEF6	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000129675
RRAGB	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000083750
MAMLD1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000013619
SRPX2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102359
SPANXN1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000203923
GTPBP6	X	ALLENOPITHECUS_NIGROVIRIDIS	L	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000178605
GRIPAP1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000068400
NHSL2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000204131
KRBOX4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147121
GPR143	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101850
SPIN3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000204271
XAGE1A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000204379
AKAP17A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000197976
GAGE12J	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000224659
H2AL3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000229674
MORF4L2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000123562
PLCXD1	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000182378
PAGE4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101951
RAB9A	X	ALLENOPITHECUS_NIGROVIRIDIS	L	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000123595
NLGN3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000196338
RNF128	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000133135
TAF7L	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102387
SMS	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102172
BTK	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000010671
MCF2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101977
MAGED4B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000187243
NALF2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000130054
SLC25A14	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102078
DHRSX	X	ALLENOPITHECUS_NIGROVIRIDIS	M	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169084
KDM6A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147050
DCAF12L1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198889
DDX3X	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000215301
NUDT11	X	ALLENOPITHECUS_NIGROVIRIDIS	UL	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000196368
PLS3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102024
SLC25A6	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169100
ETDA	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000238210
RBM41	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000089682
ZBTB33	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000177485
GNL3L	X	ALLENOPITHECUS_NIGROVIRIDIS	M	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000130119
CT45A1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000268940
TRAPPC2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000196459
F8	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000185010
CNKSR2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000149970
CXORF51B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000235699
IL1RAPL1	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169306
SHROOM2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000146950
ARHGAP4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000089820
GK	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198814
MID1IP1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000165175
IKBKG	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000269335
CD40LG	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102245
ENSG00000283599	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000283599
ARHGAP36	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147256
AP1S2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000182287
ARR3	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000120500
ADGRG2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000173698
H2BW2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101812
STK26	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000134602
MAP7D3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000129680
MED14	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000180182
GPR119	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147262
ATP11C	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000101974
JADE3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102221
CFAP47	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000165164
CSAG2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000268902
ENSG00000287585	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000287585
GPR173	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000184194
OPHN1	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000079482
ZFX	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000005889
RPL36A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000241343
TENM1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000009694
PDHA1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000131828
CXORF66	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000203933
SPACA5B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000171478
MECP2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169057
TEX13A	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000268629
IL13RA1	X	ALLENOPITHECUS_NIGROVIRIDIS	UL	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000131724
TSC22D3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000157514
ZDHHC15	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102383
CLCN5	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000171365
ARMCX1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000126947
CENPVL1	X	ALLENOPITHECUS_NIGROVIRIDIS	L	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000223591
FRMPD4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000169933
