GENE	LINEAGE	GENE_ID	GENE_TYPE
DEDD	Owl_monkey	ENSG00000158796	protein_coding
DNAH12	Macaque_indian	ENSG00000174844	protein_coding
DNAH12	Marmoset	ENSG00000174844	protein_coding
DNAH12	Orangutan	ENSG00000174844	protein_coding
DNAH14	Macaque_indian	ENSG00000185842	protein_coding
DNAH14	Owl_monkey	ENSG00000185842	protein_coding
DNAH17	Macaque_indian	ENSG00000187775	protein_coding
DNAH17	Owl_monkey	ENSG00000187775	protein_coding
DNAH3	Macaque_indian	ENSG00000158486	protein_coding
DNAH3	Owl_monkey	ENSG00000158486	protein_coding
EFCAB13	Gibbon	ENSG00000178852	protein_coding
EFCAB13	Macaque_indian	ENSG00000178852	protein_coding
EHBP1L1	Marmoset	ENSG00000173442	protein_coding
EHBP1L1	Owl_monkey	ENSG00000173442	protein_coding
ELMOD3	Marmoset	ENSG00000115459	protein_coding
ELMOD3	Owl_monkey	ENSG00000115459	protein_coding
ELN	Orangutan	ENSG00000049540	protein_coding
ELN	Owl_monkey	ENSG00000049540	protein_coding
ELOA2	Gibbon	ENSG00000206181	protein_coding
F5	Macaque_indian	ENSG00000198734	protein_coding
F5	Owl_monkey	ENSG00000198734	protein_coding
F8	Marmoset	ENSG00000185010	protein_coding
F8	Owl_monkey	ENSG00000185010	protein_coding
FAM186A	Macaque_indian	ENSG00000185958	protein_coding
FAM186A	Marmoset	ENSG00000185958	protein_coding
FAM186A	Owl_monkey	ENSG00000185958	protein_coding
FBXO27	Gibbon	ENSG00000161243	protein_coding
FBXO27	Gorilla	ENSG00000161243	protein_coding
FGL1	Gibbon	ENSG00000104760	protein_coding
FGL1	Macaque_indian	ENSG00000104760	protein_coding
FGL1	Marmoset	ENSG00000104760	protein_coding
FGL1	Owl_monkey	ENSG00000104760	protein_coding
FHL2	Marmoset	ENSG00000115641	protein_coding
FHL2	Owl_monkey	ENSG00000115641	protein_coding
FSCB	Marmoset	ENSG00000189139	protein_coding
FUT2	Macaque_indian	ENSG00000176920	protein_coding
FUT2	Marmoset	ENSG00000176920	protein_coding
FUT2	Owl_monkey	ENSG00000176920	protein_coding
FZR1	Marmoset	ENSG00000105325	protein_coding
FZR1	Orangutan	ENSG00000105325	protein_coding
FZR1	Gibbon	ENSG00000105325	protein_coding
FZR1	Macaque_indian	ENSG00000105325	protein_coding
FZR1	Owl_monkey	ENSG00000105325	protein_coding
GEMIN6	Gibbon	ENSG00000152147	protein_coding
GEMIN6	Marmoset	ENSG00000152147	protein_coding
GEMIN6	Owl_monkey	ENSG00000152147	protein_coding
GLT6D1	Gorilla	ENSG00000204007	protein_coding
GLT6D1	Bonobo	ENSG00000204007	protein_coding
GLT6D1	Chimpanzee	ENSG00000204007	protein_coding
GPR142	Macaque_indian	ENSG00000257008	protein_coding
GPR142	Owl_monkey	ENSG00000257008	protein_coding
HAP1	Macaque_indian	ENSG00000173805	protein_coding
HAP1	Owl_monkey	ENSG00000173805	protein_coding
HELLS	Macaque_indian	ENSG00000119969	protein_coding
HELLS	Owl_monkey	ENSG00000119969	protein_coding
HTR3D	Chimpanzee	ENSG00000186090	protein_coding
HTR3D	Gibbon	ENSG00000186090	protein_coding
HTR3D	Marmoset	ENSG00000186090	protein_coding
HTR3D	Owl_monkey	ENSG00000186090	protein_coding
IGSF1	Gibbon	ENSG00000147255	protein_coding
IGSF1	Macaque_indian	ENSG00000147255	protein_coding
IGSF1	Marmoset	ENSG00000147255	protein_coding
IGSF1	Owl_monkey	ENSG00000147255	protein_coding
ING5	Gorilla	ENSG00000168395	protein_coding
ING5	Macaque_indian	ENSG00000168395	protein_coding
IQCN	Gorilla	ENSG00000130518	protein_coding
IQCN	Marmoset	ENSG00000130518	protein_coding
IQCN	Owl_monkey	ENSG00000130518	protein_coding
KIF19	Gibbon	ENSG00000196169	protein_coding
KMT2D	Marmoset	ENSG00000167548	protein_coding
KMT2D	Owl_monkey	ENSG00000167548	protein_coding
KRBA1	Marmoset	ENSG00000133619	protein_coding
KRBA1	Owl_monkey	ENSG00000133619	protein_coding
LIPJ	Marmoset	ENSG00000204022	protein_coding
LIPJ	Owl_monkey	ENSG00000204022	protein_coding
MAGEB5	Gibbon	ENSG00000188408	protein_coding
MAGEB5	Marmoset	ENSG00000188408	protein_coding
MAGEB5	Owl_monkey	ENSG00000188408	protein_coding
MAGEC1	Macaque_indian	ENSG00000155495	protein_coding
MAGEC1	Bonobo	ENSG00000155495	protein_coding
MAGEC1	Chimpanzee	ENSG00000155495	protein_coding
MED18	Owl_monkey	ENSG00000130772	protein_coding
METRN	Marmoset	ENSG00000103260	protein_coding
MGAM2	Marmoset	ENSG00000257743	protein_coding
MGAM2	Owl_monkey	ENSG00000257743	protein_coding
MGAT4D	Gibbon	ENSG00000205301	protein_coding
MGAT4D	Marmoset	ENSG00000205301	protein_coding
MIA3	Macaque_indian	ENSG00000154305	protein_coding
MIA3	Marmoset	ENSG00000154305	protein_coding
MLLT10	Marmoset	ENSG00000078403	protein_coding
MLLT10	Owl_monkey	ENSG00000078403	protein_coding
MRLN	Gibbon	ENSG00000227877	protein_coding
MRLN	Marmoset	ENSG00000227877	protein_coding
MRLN	Owl_monkey	ENSG00000227877	protein_coding
MROH2A	Gibbon	ENSG00000185038	protein_coding
MROH2A	Marmoset	ENSG00000185038	protein_coding
MROH2A	Bonobo	ENSG00000185038	protein_coding
MROH2A	Chimpanzee	ENSG00000185038	protein_coding
MUC16	Gibbon	ENSG00000181143	protein_coding
MUC16	Macaque_indian	ENSG00000181143	protein_coding
MUC16	Marmoset	ENSG00000181143	protein_coding
MUC16	Owl_monkey	ENSG00000181143	protein_coding
MUC22	Macaque_indian	ENSG00000261272	protein_coding
MUC22	Marmoset	ENSG00000261272	protein_coding
MUC22	Owl_monkey	ENSG00000261272	protein_coding
MUC4	Bonobo	ENSG00000145113	protein_coding
MUC4	Chimpanzee	ENSG00000145113	protein_coding
MUC5B	Marmoset	ENSG00000117983	protein_coding
MUC5B	Owl_monkey	ENSG00000117983	protein_coding
MUC5B	Orangutan	ENSG00000117983	protein_coding
NLN	Gibbon	ENSG00000123213	protein_coding
NLN	Marmoset	ENSG00000123213	protein_coding
NRG4	Gorilla	ENSG00000169752	protein_coding
NRG4	Macaque_indian	ENSG00000169752	protein_coding
OOSP3	Gorilla	ENSG00000285231	protein_coding
OOSP3	Macaque_indian	ENSG00000285231	protein_coding
OR2T10	Gibbon	ENSG00000184022	protein_coding
OR2T10	Macaque_indian	ENSG00000184022	protein_coding
OR2T10	Bonobo	ENSG00000184022	protein_coding
OR2T10	Chimpanzee	ENSG00000184022	protein_coding
PER3	Marmoset	ENSG00000049246	protein_coding
PER3	Owl_monkey	ENSG00000049246	protein_coding
PKD1L1	Marmoset	ENSG00000158683	protein_coding
PKD1L1	Orangutan	ENSG00000158683	protein_coding
PKD1L1	Gibbon	ENSG00000158683	protein_coding
PKD1L1	Macaque_indian	ENSG00000158683	protein_coding
PKD1L1	Owl_monkey	ENSG00000158683	protein_coding
PLEKHG4B	Gibbon	ENSG00000153404	protein_coding
PLEKHG4B	Macaque_indian	ENSG00000153404	protein_coding
PPP1R14D	Marmoset	ENSG00000166143	protein_coding
PPP1R14D	Owl_monkey	ENSG00000166143	protein_coding
PSORS1C1	Gibbon	ENSG00000204540	protein_coding
PSORS1C1	Owl_monkey	ENSG00000204540	protein_coding
PTGFR	Gibbon	ENSG00000122420	protein_coding
QRICH2	Marmoset	ENSG00000129646	protein_coding
QRICH2	Owl_monkey	ENSG00000129646	protein_coding
RBM12	Marmoset	ENSG00000244462	protein_coding
RTL9	Marmoset	ENSG00000243978	protein_coding
RTL9	Owl_monkey	ENSG00000243978	protein_coding
SATL1	Marmoset	ENSG00000184788	protein_coding
SATL1	Owl_monkey	ENSG00000184788	protein_coding
SCLT1	Gorilla	ENSG00000151466	protein_coding
SCLT1	Owl_monkey	ENSG00000151466	protein_coding
SEM1	Gibbon	ENSG00000127922	protein_coding
SEM1	Marmoset	ENSG00000127922	protein_coding
SEM1	Owl_monkey	ENSG00000127922	protein_coding
SERINC5	Macaque_indian	ENSG00000164300	protein_coding
SERINC5	Marmoset	ENSG00000164300	protein_coding
SERINC5	Owl_monkey	ENSG00000164300	protein_coding
SH3BP5	Macaque_indian	ENSG00000131370	protein_coding
SH3BP5	Marmoset	ENSG00000131370	protein_coding
SH3BP5	Owl_monkey	ENSG00000131370	protein_coding
SMCO2	Bonobo	ENSG00000165935	protein_coding
SMCO2	Marmoset	ENSG00000165935	protein_coding
SMCO2	Owl_monkey	ENSG00000165935	protein_coding
SNX9	Macaque_indian	ENSG00000130340	protein_coding
SNX9	Marmoset	ENSG00000130340	protein_coding
SNX9	Owl_monkey	ENSG00000130340	protein_coding
SPATA21	Gibbon	ENSG00000187144	protein_coding
SPATA21	Gorilla	ENSG00000187144	protein_coding
SPHK1	Gorilla	ENSG00000176170	protein_coding
SPHK1	Marmoset	ENSG00000176170	protein_coding
SPHK1	Owl_monkey	ENSG00000176170	protein_coding
SPRYD7	Marmoset	ENSG00000123178	protein_coding
SPRYD7	Owl_monkey	ENSG00000123178	protein_coding
STARD9	Marmoset	ENSG00000159433	protein_coding
STARD9	Owl_monkey	ENSG00000159433	protein_coding
SUOX	Gibbon	ENSG00000139531	protein_coding
SUOX	Macaque_indian	ENSG00000139531	protein_coding
SUOX	Marmoset	ENSG00000139531	protein_coding
SUOX	Owl_monkey	ENSG00000139531	protein_coding
TAAR6	Gibbon	ENSG00000146383	protein_coding
TAAR6	Marmoset	ENSG00000146383	protein_coding
TCF4	Owl_monkey	ENSG00000196628	protein_coding
TCHH	Marmoset	ENSG00000159450	protein_coding
TCHH	Owl_monkey	ENSG00000159450	protein_coding
TPRG1	Macaque_indian	ENSG00000188001	protein_coding
TPRG1	Marmoset	ENSG00000188001	protein_coding
TPRG1	Owl_monkey	ENSG00000188001	protein_coding
TRIB3	Chimpanzee	ENSG00000101255	protein_coding
TRIB3	Macaque_indian	ENSG00000101255	protein_coding
TRMT13	Marmoset	ENSG00000122435	protein_coding
TSBP1	Owl_monkey	ENSG00000204296	protein_coding
TTC23	Marmoset	ENSG00000103852	protein_coding
TTC23	Owl_monkey	ENSG00000103852	protein_coding
TTC23	Bonobo	ENSG00000103852	protein_coding
TTC23	Chimpanzee	ENSG00000103852	protein_coding
TTC33	Marmoset	ENSG00000113638	protein_coding
TTC33	Owl_monkey	ENSG00000113638	protein_coding
UGT2A1	Gibbon	ENSG00000173610	protein_coding
UGT2A1	Orangutan	ENSG00000173610	protein_coding
UMODL1	Marmoset	ENSG00000177398	protein_coding
UMODL1	Owl_monkey	ENSG00000177398	protein_coding
USP30	Macaque_indian	ENSG00000135093	protein_coding
USP30	Marmoset	ENSG00000135093	protein_coding
USP30	Owl_monkey	ENSG00000135093	protein_coding
USP50	Gibbon	ENSG00000170236	protein_coding
USP50	Owl_monkey	ENSG00000170236	protein_coding
UXS1	Marmoset	ENSG00000115652	protein_coding
VGLL3	Gibbon	ENSG00000206538	protein_coding
VGLL3	Marmoset	ENSG00000206538	protein_coding
VGLL3	Owl_monkey	ENSG00000206538	protein_coding
WDR31	Marmoset	ENSG00000148225	protein_coding
WDR31	Owl_monkey	ENSG00000148225	protein_coding
ZFP2	Owl_monkey	ENSG00000198939	protein_coding
ZNF155	Marmoset	ENSG00000204920	protein_coding
ZNF155	Owl_monkey	ENSG00000204920	protein_coding
ZNF234	Marmoset	ENSG00000263002	protein_coding
ZNF234	Owl_monkey	ENSG00000263002	protein_coding
ZNF283	Gorilla	ENSG00000167637	protein_coding
ZNF283	Macaque_indian	ENSG00000167637	protein_coding
ZNF320	Gorilla	ENSG00000182986	protein_coding
ZNF320	Macaque_indian	ENSG00000182986	protein_coding
ZNF404	Macaque_indian	ENSG00000176222	protein_coding
ZNF404	Owl_monkey	ENSG00000176222	protein_coding
ZNF418	Macaque_indian	ENSG00000196724	protein_coding
ZNF418	Marmoset	ENSG00000196724	protein_coding
ZNF469	Orangutan	ENSG00000225614	protein_coding
ZNF469	Owl_monkey	ENSG00000225614	protein_coding
ZNF534	Gorilla	ENSG00000198633	protein_coding
ZNF534	Macaque_indian	ENSG00000198633	protein_coding
ZNF544	Macaque_indian	ENSG00000198131	protein_coding
ZNF544	Owl_monkey	ENSG00000198131	protein_coding
ZNF568	Gibbon	ENSG00000198453	protein_coding
ZNF568	Owl_monkey	ENSG00000198453	protein_coding
ZNF664	Marmoset	ENSG00000179195	protein_coding
ZNF664	Owl_monkey	ENSG00000179195	protein_coding
ZNF677	Owl_monkey	ENSG00000197928	protein_coding
ZNF816	Macaque_indian	ENSG00000180257	protein_coding
ZNF816	Orangutan	ENSG00000180257	protein_coding
ZNF837	Marmoset	ENSG00000152475	protein_coding
ZNF85	Gibbon	ENSG00000105750	protein_coding
ZNF85	Macaque_indian	ENSG00000105750	protein_coding
