GENE	GENE_ID	CHR	LINEAGE	CONSEQUENCE	GENE_TYPE
AL358790.1	ENSG00000282772	chr10	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL358790.1	ENSG00000282772	chr10	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RNU5B-6P	ENSG00000252574	chr10	Macaque_indian	transcript ablation	snRNA
RNU5B-6P	ENSG00000252574	chr10	Marmoset	transcript ablation	snRNA
RNU5B-6P	ENSG00000252574	chr10	Owl_monkey	transcript ablation	snRNA
ADD3-AS1	ENSG00000203876	chr10	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	retained_intron
ADD3-AS1	ENSG00000203876	chr10	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	retained_intron
ADD3-AS1	ENSG00000203876	chr10	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	retained_intron
RPL23AP65	ENSG00000243964	chr11	Macaque_indian	transcript ablation	processed_pseudogene
RPL23AP65	ENSG00000243964	chr11	Marmoset	transcript ablation	processed_pseudogene
RPL23AP65	ENSG00000243964	chr11	Owl_monkey	transcript ablation	processed_pseudogene
LINC02751	ENSG00000254946	chr11	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02751	ENSG00000254946	chr11	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02751	ENSG00000254946	chr11	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
HMGB1P40	ENSG00000255291	chr11	Macaque_indian	transcript ablation	processed_pseudogene
HMGB1P40	ENSG00000255291	chr11	Marmoset	transcript ablation	processed_pseudogene
HMGB1P40	ENSG00000255291	chr11	Owl_monkey	transcript ablation	processed_pseudogene
AC104563.1	ENSG00000240036	chr11	Macaque_indian	transcript ablation	processed_pseudogene
AC104563.1	ENSG00000240036	chr11	Marmoset	transcript ablation	processed_pseudogene
AC104563.1	ENSG00000240036	chr11	Owl_monkey	transcript ablation	processed_pseudogene
AC113192.2	ENSG00000255161	chr11	Macaque_indian	transcript ablation	processed_pseudogene
AC113192.2	ENSG00000255161	chr11	Marmoset	transcript ablation	processed_pseudogene
AC113192.2	ENSG00000255161	chr11	Owl_monkey	transcript ablation	processed_pseudogene
AC023232.1	ENSG00000254780	chr11	Macaque_indian	transcript ablation	processed_pseudogene
AC023232.1	ENSG00000254780	chr11	Marmoset	transcript ablation	processed_pseudogene
AC023232.1	ENSG00000254780	chr11	Owl_monkey	transcript ablation	processed_pseudogene
MIR4300HG	ENSG00000245832	chr11	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR4300HG	ENSG00000245832	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR4300HG	ENSG00000245832	chr11	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001831.1	ENSG00000254733	chr11	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001831.1	ENSG00000254733	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001831.1	ENSG00000254733	chr11	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
TUBAP2	ENSG00000214391	chr11	Macaque_indian	transcript ablation	processed_pseudogene
TUBAP2	ENSG00000214391	chr11	Marmoset	transcript ablation	processed_pseudogene
TUBAP2	ENSG00000214391	chr11	Owl_monkey	transcript ablation	processed_pseudogene
AP002784.2	ENSG00000256745	chr11	Macaque_indian	transcript ablation	processed_pseudogene
AP002784.2	ENSG00000256745	chr11	Marmoset	transcript ablation	processed_pseudogene
AP002784.2	ENSG00000256745	chr11	Owl_monkey	transcript ablation	processed_pseudogene
LINC02552	ENSG00000256422	chr11	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02552	ENSG00000256422	chr11	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02552	ENSG00000256422	chr11	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CASP5	ENSG00000137757	chr11	Macaque_indian	frameshift variant	protein_coding
CASP5	ENSG00000137757	chr11	Marmoset	frameshift variant	protein_coding
CASP5	ENSG00000137757	chr11	Owl_monkey	frameshift variant	protein_coding
SLC35F2	ENSG00000110660	chr11	Macaque_indian	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
SLC35F2	ENSG00000110660	chr11	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
SLC35F2	ENSG00000110660	chr11	Owl_monkey	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC005906.1	ENSG00000255996	chr12	Macaque_indian	transcript ablation	processed_pseudogene
AC005906.1	ENSG00000255996	chr12	Marmoset	transcript ablation	processed_pseudogene
AC005906.1	ENSG00000255996	chr12	Owl_monkey	transcript ablation	processed_pseudogene
LINC02446	ENSG00000256039	chr12	Macaque_indian	splice_acceptor_variant&intron_variant&non_coding_transcript_variant	lncRNA
LINC02446	ENSG00000256039	chr12	Marmoset	splice_acceptor_variant&intron_variant&non_coding_transcript_variant	lncRNA
LINC02446	ENSG00000256039	chr12	Owl_monkey	splice_acceptor_variant&intron_variant&non_coding_transcript_variant	lncRNA
RPL7P6	ENSG00000227525	chr12	Macaque_indian	transcript ablation	processed_pseudogene
RPL7P6	ENSG00000227525	chr12	Marmoset	transcript ablation	processed_pseudogene
RPL7P6	ENSG00000227525	chr12	Owl_monkey	transcript ablation	processed_pseudogene
LRRC34P1	ENSG00000256371	chr12	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
LRRC34P1	ENSG00000256371	chr12	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
LRRC34P1	ENSG00000256371	chr12	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
RPS27P21	ENSG00000240759	chr12	Macaque_indian	transcript ablation	processed_pseudogene
RPS27P21	ENSG00000240759	chr12	Marmoset	transcript ablation	processed_pseudogene
RPS27P21	ENSG00000240759	chr12	Owl_monkey	transcript ablation	processed_pseudogene
AC025253.2	ENSG00000286671	chr12	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC025253.2	ENSG00000286671	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC025253.2	ENSG00000286671	chr12	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
FAM186A	ENSG00000185958	chr12	Macaque_indian	inframe_insertion	protein_coding
FAM186A	ENSG00000185958	chr12	Marmoset	inframe_insertion	protein_coding
FAM186A	ENSG00000185958	chr12	Owl_monkey	inframe_insertion	protein_coding
AC025161.1	ENSG00000257199	chr12	Macaque_indian	transcript ablation	processed_pseudogene
AC025161.1	ENSG00000257199	chr12	Marmoset	transcript ablation	processed_pseudogene
AC025161.1	ENSG00000257199	chr12	Owl_monkey	transcript ablation	processed_pseudogene
LINC02392	ENSG00000258183	chr12	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02392	ENSG00000258183	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02392	ENSG00000258183	chr12	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ST13P3	ENSG00000257773	chr12	Macaque_indian	transcript ablation	processed_pseudogene
ST13P3	ENSG00000257773	chr12	Marmoset	transcript ablation	processed_pseudogene
ST13P3	ENSG00000257773	chr12	Owl_monkey	transcript ablation	processed_pseudogene
LINC00939	ENSG00000249267	chr12	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00939	ENSG00000249267	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00939	ENSG00000249267	chr12	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
THAP12P6	ENSG00000227882	chr13	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
THAP12P6	ENSG00000227882	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
THAP12P6	ENSG00000227882	chr13	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AL354809.1	ENSG00000273507	chr13	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL354809.1	ENSG00000273507	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL354809.1	ENSG00000273507	chr13	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LHFPL6	ENSG00000183722	chr13	Macaque_indian	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
LHFPL6	ENSG00000183722	chr13	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
LHFPL6	ENSG00000183722	chr13	Owl_monkey	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
PSME2P2	ENSG00000225131	chr13	Macaque_indian	transcript ablation	processed_pseudogene
PSME2P2	ENSG00000225131	chr13	Marmoset	transcript ablation	processed_pseudogene
PSME2P2	ENSG00000225131	chr13	Owl_monkey	transcript ablation	processed_pseudogene
INTS6-AS1	ENSG00000236778	chr13	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
INTS6-AS1	ENSG00000236778	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
INTS6-AS1	ENSG00000236778	chr13	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00458	ENSG00000234787	chr13	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00458	ENSG00000234787	chr13	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00458	ENSG00000234787	chr13	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RNY4P29	ENSG00000222733	chr13	Macaque_indian	transcript ablation	misc_RNA
RNY4P29	ENSG00000222733	chr13	Marmoset	transcript ablation	misc_RNA
RNY4P29	ENSG00000222733	chr13	Owl_monkey	transcript ablation	misc_RNA
LINC00395	ENSG00000231061	chr13	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00395	ENSG00000231061	chr13	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00395	ENSG00000231061	chr13	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL590807.1	ENSG00000286746	chr13	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL590807.1	ENSG00000286746	chr13	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL590807.1	ENSG00000286746	chr13	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL110292.1	ENSG00000258081	chr14	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL110292.1	ENSG00000258081	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL110292.1	ENSG00000258081	chr14	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
NUBPL	ENSG00000151413	chr14	Macaque_indian	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
NUBPL	ENSG00000151413	chr14	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
NUBPL	ENSG00000151413	chr14	Owl_monkey	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AL049828.1	ENSG00000258526	chr14	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL049828.1	ENSG00000258526	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL049828.1	ENSG00000258526	chr14	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RPL21P7	ENSG00000258613	chr14	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
RPL21P7	ENSG00000258613	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
RPL21P7	ENSG00000258613	chr14	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
DYNLL1P1	ENSG00000205579	chr14	Macaque_indian	transcript ablation	processed_pseudogene
DYNLL1P1	ENSG00000205579	chr14	Marmoset	transcript ablation	processed_pseudogene
DYNLL1P1	ENSG00000205579	chr14	Owl_monkey	transcript ablation	processed_pseudogene
LINC01146	ENSG00000258867	chr14	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01146	ENSG00000258867	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01146	ENSG00000258867	chr14	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC139426.3	ENSG00000271078	chr15	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AC139426.3	ENSG00000271078	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AC139426.3	ENSG00000271078	chr15	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
ANP32AP1	ENSG00000259516	chr15	Macaque_indian	transcript ablation	transcribed_processed_pseudogene
ANP32AP1	ENSG00000259516	chr15	Marmoset	transcript ablation	transcribed_processed_pseudogene
ANP32AP1	ENSG00000259516	chr15	Owl_monkey	transcript ablation	transcribed_processed_pseudogene
AC021351.1	ENSG00000259639	chr15	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC021351.1	ENSG00000259639	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC021351.1	ENSG00000259639	chr15	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC091074.2	ENSG00000285934	chr15	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC091074.2	ENSG00000285934	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC091074.2	ENSG00000285934	chr15	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
NDUFB10P1	ENSG00000260870	chr15	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
NDUFB10P1	ENSG00000260870	chr15	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
NDUFB10P1	ENSG00000260870	chr15	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AC078905.1	ENSG00000259761	chr15	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC078905.1	ENSG00000259761	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC078905.1	ENSG00000259761	chr15	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00923	ENSG00000251209	chr15	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00923	ENSG00000251209	chr15	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00923	ENSG00000251209	chr15	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC109446.1	ENSG00000260405	chr16	Macaque_indian	transcript ablation	processed_pseudogene
AC109446.1	ENSG00000260405	chr16	Marmoset	transcript ablation	processed_pseudogene
AC109446.1	ENSG00000260405	chr16	Owl_monkey	transcript ablation	processed_pseudogene
RPS18P12	ENSG00000230897	chr17	Macaque_indian	transcript ablation	processed_pseudogene
RPS18P12	ENSG00000230897	chr17	Marmoset	transcript ablation	processed_pseudogene
RPS18P12	ENSG00000230897	chr17	Owl_monkey	transcript ablation	processed_pseudogene
BIRC5	ENSG00000089685	chr17	Macaque_indian	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
BIRC5	ENSG00000089685	chr17	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
BIRC5	ENSG00000089685	chr17	Owl_monkey	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
CCDC57	ENSG00000176155	chr17	Macaque_indian	inframe_deletion	protein_coding
CCDC57	ENSG00000176155	chr17	Marmoset	inframe_deletion	protein_coding
CCDC57	ENSG00000176155	chr17	Owl_monkey	inframe_deletion	protein_coding
AP005139.1	ENSG00000263682	chr18	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	unprocessed_pseudogene
AP005139.1	ENSG00000263682	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	unprocessed_pseudogene
AP005139.1	ENSG00000263682	chr18	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	unprocessed_pseudogene
AC108452.1	ENSG00000286716	chr18	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC108452.1	ENSG00000286716	chr18	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC108452.1	ENSG00000286716	chr18	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
TPMTP1	ENSG00000267156	chr18	Macaque_indian	transcript ablation	processed_pseudogene
TPMTP1	ENSG00000267156	chr18	Marmoset	transcript ablation	processed_pseudogene
TPMTP1	ENSG00000267156	chr18	Owl_monkey	transcript ablation	processed_pseudogene
LINC-ROR	ENSG00000258609	chr18	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC-ROR	ENSG00000258609	chr18	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC-ROR	ENSG00000258609	chr18	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090621.1	ENSG00000267401	chr18	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090621.1	ENSG00000267401	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090621.1	ENSG00000267401	chr18	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01909	ENSG00000266258	chr18	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01909	ENSG00000266258	chr18	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01909	ENSG00000266258	chr18	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RPL21P131	ENSG00000232429	chr19	Macaque_indian	transcript ablation	processed_pseudogene
RPL21P131	ENSG00000232429	chr19	Marmoset	transcript ablation	processed_pseudogene
RPL21P131	ENSG00000232429	chr19	Owl_monkey	transcript ablation	processed_pseudogene
SNRPEP5	ENSG00000225642	chr2	Macaque_indian	transcript ablation	processed_pseudogene
SNRPEP5	ENSG00000225642	chr2	Marmoset	transcript ablation	processed_pseudogene
SNRPEP5	ENSG00000225642	chr2	Owl_monkey	transcript ablation	processed_pseudogene
